#' Hood Canal Summer-run Chum Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1994, 154, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1995, 786, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1996, 975, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1997, 852, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1998, 1148, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1999, 502, 0.260629251
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2000, 801, 0.487894701
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2001, 3733, 0.358737974
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2002, 6791, 0.607693866
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2003, 6752, 0.619695943
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2004, 9280, 0.600700561
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2005, 9619, 0.622449208
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2006, 8181, 0.8163827
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2007, 3219, 0.925904689
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2008, 3449, 0.861367841
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2009, 5029, 0.589937743
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2010, 9179, 0.648869384
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2011, 5675, 0.715423789
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2012, 6304, 0.78919099
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 2013, 14727, 0.817649376
