ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,NWR_POPULATION_NAME,NMFS_POPID,SPECIES,STREAM_NAME,START_YEAR,END_YEAR,BROOD_YEAR,VIABILITY_TYPE,RUN_TIMING,NUMBER_OF_SPAWNERS,SPAWNER_NOTES,FRACWILD,HATCHERY_FRACTION,HATCHERY_FRACTION_NOTES,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,REGIME
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2006,NA,-99,2075,"Haggerty, M.J. 2014. DRAFT A summary of Lake Ozette sockeye salmon run-size estimates for return years 2004 through 2012. Unpublished draft report (version 2.3) submitted to National Marine Fisheries Service, 103pp, Portland, Oregon",0.935,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2007,NA,-99,748,"Haggerty, M.J. 2014. DRAFT A summary of Lake Ozette sockeye salmon run-size estimates for return years 2004 through 2012. Unpublished draft report (version 2.3) submitted to National Marine Fisheries Service, 103pp, Portland, Oregon",0.991,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2008,NA,-99,2151,"Haggerty, M.J. 2014. DRAFT A summary of Lake Ozette sockeye salmon run-size estimates for return years 2004 through 2012. Unpublished draft report (version 2.3) submitted to National Marine Fisheries Service, 103pp, Portland, Oregon",0.906,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2009,NA,-99,4769,"Haggerty, M.J. 2014. DRAFT A summary of Lake Ozette sockeye salmon run-size estimates for return years 2004 through 2012. Unpublished draft report (version 2.3) submitted to National Marine Fisheries Service, 103pp, Portland, Oregon",0.885,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2010,NA,-99,2986,"Haggerty, M.J. 2014. DRAFT A summary of Lake Ozette sockeye salmon run-size estimates for return years 2004 through 2012. Unpublished draft report (version 2.3) submitted to National Marine Fisheries Service, 103pp, Portland, Oregon",0.916,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2011,NA,-99,2457,"Haggerty, M.J. 2014. DRAFT A summary of Lake Ozette sockeye salmon run-size estimates for return years 2004 through 2012. Unpublished draft report (version 2.3) submitted to National Marine Fisheries Service, 103pp, Portland, Oregon",0.91,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2012,NA,-99,8206,"No estimate, complete hard drive failure.  Umbrella Creek estimate 5,152.",0.678,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2013,NA,-99,2650,"I summed all the full day counts from 5/6, 6/4, 6/5, 6/7-6/12, 6/18-6/22, and 7/6-7/13 (this was all the full days that could be salvaged from the motherboard failure) this totaled 792 sockeye, I applied the DVR detection rate from 2011 (.925) and the sum of daily proportions for the days with complete counts (0.29952) to estimate a run-size of 2,859 assuming a normal run-time.  An early run-time would yield an estimate of  4,821.  (Umbrella Estimate was 4,550).",0.803,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2014,NA,-99,5097,"I summed all of the full day counts from 5/22-6/14 and 7/3-8/1, 2,682 sockeye upstream, applied a .925 detection rate, and assumed .5488 of the run passed during these days based on the average timing from 2000-2011, to estimate a run-size of 5,282.",0.987,NA,MFM 2014 unpublished escapement estimate updated in 2015/16 annual report (see 2014 Umbrella Excel file),180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2015,NA,-99,6638,"I summed all of the full day counts from 5/22-6/14 and 6/20-8/5; 4,692 sockeye upstream, applied a .925 detection rate, and assumed 0.7409 of the run passed during these days based on the average timing from 2000-2011, to estimate a run-size of 6,846.",0.947,NA,MFM 2015 and 2016 LOS RMP Report,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2016,NA,-99,12829,"I summed all of the full day counts from 6/17-7/6; 3,486 sockeye upstream, applied a .925 detection rate, and assumed .2883 of the run passed during these days based on the average timing from 2000-2011, to estimate a run-size of 13,073",0.994,NA,MFM 2015 and 2016 LOS RMP Report,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2017,NA,-99,5265,"[ARIS] From Keith Denton report, 5,036 sockeye estimated between 5/11 and 8/11.  Timing data from 2000-2011; indicate that 0.9279 enter the lake from 5/11-8/12, so 5036/0.9279 =5427; [DVR] I assumed half of the fish on 6/21 were counted, then summed 6/22-7/19 full day counts, 2,385 sockeye; Used the ARIS estimates ",0.978,NA,MFM 2016-2019 LOS RMP Report,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2018,NA,-99,3264,"[ARIS ONLY]  I used only whole entire days where data were collected, I removed questionable days and data reviewed by PKB- net upstream migrants 2,140.  I then determined the proportion of the run that on average enters the lake for the days with data 0.63402 to estimate 3,375 sockeye.  ",0.883,NA,MFM 2016-2019 LOS RMP Report,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
