"ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CITATION","CONTRIBUTOR","LINE_NOTES","FILE_NOTES"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2008","586","0.5","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2009","895","0.27","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2010","1377","0.52","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2011","990","0.55","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2012","843","0.69","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2013","1081","0.67","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2014","1599","0.68","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2015","991","0.52","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2016","757","0.77","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2017","360","0.45","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
