Citation,Contributor,NMFS_POPID,DISPLAY_ORDER,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,SPECIES,Run,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2011,15386,0.996,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2012,2963,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2013,4539,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2014,31341,0.976,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2015,3079,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2016,7810,0.97,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2017,5486,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2018,4190,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,1994,1922,0.575,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,1995,1096,0.311,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,1996,979,0.749,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,1997,481,0.909,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,1998,384,0.932,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,1999,1978,0.926,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2000,2477,0.879,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2001,2119,0.917,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2002,13707,0.973,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2003,13129,0.991,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2004,3360,0.754,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2005,1995,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2006,8774,1,-99,-99,-99,-99,-99,-99,-99,-99
