#' Lower Columbia River Chinook Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1980, 247, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1981, 514, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1982, 1352, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1983, 2627, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1984, 2036, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1985, 5919, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1986, 1064, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1987, 2741, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1988, 2411, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1989, 1093, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1990, 587, 0.42
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1991, 445, 0.09
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1992, 392, 1
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1993, 408, 0.78
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1994, 1004, 0.98
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1995, 316, 0.5
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1996, 547, 0.66
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1997, 2137, 0.11
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1998, 358, 0.25
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1999, 957, 0.25
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2000, 146, 0.62
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2001, 2806, 0.82
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2002, 7893, 0
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2003, 7348, 0.65
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2004, 6880, 0.01
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2005, 2699, 0.05
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2006, 324, 1
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2007, 168, 1
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2008, 1320, 0.1
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2009, 1467, 0.18
