Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1945,727,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1946,1176,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1947,193,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1948,3571,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1949,2018,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1950,1069,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1951,1044,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1952,1504,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1953,1728,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1954,1569,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1955,313,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1956,693,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1957,562,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1958,455,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1959,900,-99,-99,-99,-99,-99,-99,-99,-99,-99
