#' Upper Willamette River Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1987, 4523, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1988, 2444, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1989, 4725, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1990, 3488, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1991, 3443, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1992, 2484, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1993, 2754, 0.84
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1994, 2619, 0.87
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1995, 1755, 0.89
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1996, 2452, 0.89
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1997, -99, -99
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1998, 1410, 0.7
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1999, 1111, 0.73
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2000, 1431, 0.88
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2001, 3641, 1
