NMFS_POPID,RECOVERY_DOMAIN,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,NWR_Name,Population_RunTime,SPECIES,RUN_TIMING,STREAM_NAME,START_YEAR,END_YEAR,BROOD_YEAR,VIABILITY_TYPE,NUMBER_OF_SPAWNERS,SPAWNER_NOTES,FRACWILD,HATCHERY_FRACTION,HATCHERY_FRACTION_NOTES,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,REGIME,AGE_NOTES,ABUND_COUNT_EXTERNAL_FILE_1_LI,ABUND_COUNT_EXTERNAL_FILE_2_LI,POPULATION_DB_ID,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,LINK_REFERENCE_S,ADJUSTED_LINK_REFERENCE_S,ATTRIBUTE_SCOPE_TYPE,INCLUDE_AGE2,HATCHERY_RETURN,HATCHERY_RETURN_NOR,NUMBER_USED_FOR_BROODSTOCK,FRACTION_BROODSTOCK_TAKEN_NOR,AGE_DATA_TYPE,AGE_DETERMINATION_SAMPLE_SIZE,AEQ_CATCH_AGE2_OCEAN,CO2_DATA_TYPE,AEQ_CATCH_AGE3_OCEAN,CO3_DATA_TYPE,AEQ_CATCH_AGE4_OCEAN,CO4_DATA_TYPE,AEQ_CATCH_AGE5_OCEAN,CO5_DATA_TYPE,CATCH_AGE2_TERMINAL_FISHERIES,CTF2_DATA_TYPE,CATCH_AGE3_TERMINAL_FISHERIES,CTF3_DATA_TYPE,CATCH_AGE4_TERMINAL_FISHERIES,CTF4_DATA_TYPE,CATCH_AGE5_TERMINAL_FISHERIES,CTF5_DATA_TYPE,PPM_POSTFISHERY_PRESPAWN_MORT,PPM_AGE2,PPM_AGE3,PPM_AGE4,PPM_AGE5,RETURN_POTENTIAL,RETURN_POTENTIAL_AGE2,RETURN_POTENTIAL_AGE3,RETURN_POTENTIAL_AGE4,RETURN_POTENTIAL_AGE5,SAIP_STOCK_ID,SAIP_ABUNDANCE,SAIP_CATCH,SAIP_ANTHROPOGENIC,SAIP_LIFE_HISTORY,SAIP_ASSESSMENT_MODEL,SAIP_FREQUENCY,QAQC_FLAG
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1986,,396,,1,,,-99,0,0.101,0.051,0.668,0.173,0.006,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1987,,386,,1,,,-99,0,0.034,0.587,0.133,0.244,0.002,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1988,,1890,,1,,,-99,0,0.073,0.153,0.734,0.04,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1989,,2549,,1,,,-99,0,0.03,0.084,0.33,0.556,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1990,,812,,1,,,-99,0,0.101,0.257,0.373,0.228,0.041,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1991,,340,,1,,,-99,0,0,0.316,0.379,0.305,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1992,,1247,,1,,,-99,0,0.023,0.074,0.734,0.157,0.012,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1993,,890,,1,,,-99,0,0.066,0.309,0.354,0.271,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1994,,1695,,1,,,-99,0,0.056,0.315,0.555,0.074,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1995,,1368,,1,,,-99,0,0.025,0.3,0.519,0.156,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1996,,2305,,1,,,-99,0,0.002,0.154,0.663,0.181,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1997,,689,,1,,,-99,0,0,0.007,0.619,0.374,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
