"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2012,266,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2013,430,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2014,310,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2015,922,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2016,816,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2017,290,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2018,466,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2019,112,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1981,51,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1982,86,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1984,836,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1985,1807,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1986,1595,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1987,1650,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1988,2222,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1989,1371,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1990,752,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1991,904,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1992,1290,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1993,1242,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1994,632,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1995,396,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1996,150,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1997,388,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1998,374,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",1999,562,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2000,490,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2001,348,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2002,640,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2003,1510,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2004,1212,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2005,520,-99
