"NMFS_POPID","ESU","Species","MAJOR_POPULATION_GROUP","DISPLAY_ORDER","POP_NAME_LONG","COMMON_POPULATION_NAME","RUN_TIMING","START_YEAR","END_YEAR","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","Age1","Age2","Age3","Age4","Age5","Sum.of.age","TOTAL_SPAWNERS_WITH_JACKS","NATURAL_SPAWNERS_WITH_JACKS","TOTAL_SPAWNERS_EXC_JACKS","NATURAL_ADULT_ANNUAL_RUN_4_6","JACK_FRAC_OF_HATCHERY_SPAWNERS","ADULT_NATURAL_HARVEST_RATE","NAT_NO_ORIGIN_BROOD_STOCK","ADULT_BROOD_RETURNS","SAR_ADJUSTED_ADULT_BRD_RETURNS","HATCHERY_RETURN","HATCHERY_RETURN_NOR","Date.Uploaded","Data.Submitted.by"
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2001,159,0.603448276,0,0,0,0.530600132,0.469399868,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2002,135.5695758,0.396659708,0,0.003312954,0.019325498,0.681729066,0.295632481,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2003,69.21558521,0.247311828,0,0.002618988,0.13296948,0.317187337,0.547224195,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2004,29.39960891,0.805555556,0,0.006352774,0.02543516,0.822847197,0.145364868,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2005,19.06246126,0.700934579,0,0.001273715,0.126366724,0.259022776,0.613336784,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2006,61.599511,0.693617021,0,0.005363667,0.021267425,0.896917914,0.076450994,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2007,26.06702671,0.369942197,0,0.001446896,0.16917542,0.242100439,0.587277244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2008,80.12326251,0.629251701,0,0.000490029,0.01115802,0.931918953,0.056432999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2009,45.51873801,0.453744493,0,0.005922869,0.029860978,0.245952943,0.71826321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2010,21.77527064,0.179271709,0,0.030259256,0.280218867,0.465203074,0.224318803,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2011,90.13500922,0.4617737,0,0.000831433,0.136288679,0.719492373,0.143387515,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2012,116.1267228,0.784741144,0,0.000586019,0.012056187,0.776798288,0.210559506,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2013,10.02116005,0.232227488,0,0.001117674,0.025892943,0.147475924,0.825513458,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2014,23.24161171,0.417112299,0,0.034416608,0.053509281,0.55343422,0.35863989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2015,7.01737882,0.696969697,0,0.001804515,0.459429321,0.29615653,0.242609633,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2016,327.1794872,0.598557692,0,0.020683732,0.13523402,0.780922692,0.063159557,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2017,146.6110357,0.198521647,0,0.009941526,0.246909332,0.12470571,0.618443432,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2018,369.6526679,0.303118202,0,0.001312836,0.090563099,0.883728666,0.024395399,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1952,2721.894791,0.9037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1953,1837.993818,0.9037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1954,1751.584033,0.9037,0,0.012901883,0.098460048,0.686608079,0.20202999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1955,1384.514223,0.9037,0,0.016541864,0.16171953,0.501653527,0.320085079,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1956,1746.329889,0.9037,0,0.018103449,0.160889288,0.63935257,0.181654693,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1957,2298.563682,0.9037,0,0.017759939,0.165877672,0.599223341,0.217139048,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1958,3247.798763,0.9037,0,0.020389794,0.161964171,0.61489162,0.202754415,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1959,5162.890163,0.9037,0,0.013655101,0.184457944,0.595581597,0.206305358,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1960,9334.644378,0.9037,0,0.003895239,0.122843093,0.67450801,0.198753658,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1961,4693.074664,0.9037,0,0.012932148,0.048773272,0.625210534,0.313084046,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1962,1900.258531,0.9037,0,0.013246834,0.227887503,0.349368227,0.409497437,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1963,3447.728652,0.9037,0,0.01438174,0.109745492,0.767392202,0.108480566,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1964,2933.130595,0.9037,0,0.01666566,0.161848547,0.501988205,0.319497588,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Salmon, Chinook (Puget Sound DPS)","Chinook","Whidbey Basin",3,"Lower Skagit Chinook","Low. Skagit R.","fall",1952,2018,1965,4041.599161,0.9037,0,0.010380761,0.163036058,0.643714362,0.182868819,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
