"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRSSchinookModel","Model","CAX05262065","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2019,190,1
"ICSRSSchinookModel","Model","CAX05262066","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2011,333,1
"ICSRSSchinookModel","Model","CAX05262067","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2012,118,1
"ICSRSSchinookModel","Model","CAX05262068","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2013,78,1
"ICSRSSchinookModel","Model","CAX05262069","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2014,113,1
"ICSRSSchinookModel","Model","CAX05262070","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2015,84,1
"ICSRSSchinookModel","Model","CAX05262071","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2016,65,1
"ICSRSSchinookModel","Model","CAX05262072","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2017,34,1
"ICSRSSchinookModel","Model","CAX05262073","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2018,17,1
"ICSRSSchinookModel","Model","CAX05262074","Nez Perce Tribe",60,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Big Sheep Creek","Big Sheep Ck.",2.8,"Chinook salmon",NA,"Big Sheep Creek",2019,8,1
"ICSRSSchinookModel","Model","CAX05262075","Nez Perce Tribe",71,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Little Salmon River","Little Salmon R.",3.1,"Chinook salmon",NA,"Little Salmon River",2010,73,1
"ICSRSSchinookModel","Model","CAX05262076","Nez Perce Tribe",71,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Little Salmon River","Little Salmon R.",3.1,"Chinook salmon",NA,"Little Salmon River",2011,109,1
"ICSRSSchinookModel","Model","CAX05262077","Nez Perce Tribe",71,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Little Salmon River","Little Salmon R.",3.1,"Chinook salmon",NA,"Little Salmon River",2012,11,1
"ICSRSSchinookModel","Model","CAX05262078","Nez Perce Tribe",71,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Little Salmon River","Little Salmon R.",3.1,"Chinook salmon",NA,"Little Salmon River",2013,8,1
"ICSRSSchinookModel","Model","CAX05262079","Nez Perce Tribe",71,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Little Salmon River","Little Salmon R.",3.1,"Chinook salmon",NA,"Little Salmon River",2018,5,1
"ICSRSSchinookModel","Model","CAX05262080","Nez Perce Tribe",71,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Little Salmon River","Little Salmon R.",3.1,"Chinook salmon",NA,"Little Salmon River",2019,5,1
"ICSRSSchinookModel","Model","CAX05262081","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2010,1086,1
"ICSRSSchinookModel","Model","CAX05262082","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2011,723,1
"ICSRSSchinookModel","Model","CAX05262083","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2012,913,1
"ICSRSSchinookModel","Model","CAX05262084","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2013,1197,1
"ICSRSSchinookModel","Model","CAX05262085","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2014,1506,1
"ICSRSSchinookModel","Model","CAX05262086","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2015,639,1
"ICSRSSchinookModel","Model","CAX05262087","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2016,558,1
"ICSRSSchinookModel","Model","CAX05262088","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2017,230,1
"ICSRSSchinookModel","Model","CAX05262089","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2018,346,1
"ICSRSSchinookModel","Model","CAX05262090","Nez Perce Tribe",90,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","Secesh River","Secesh R.",3.3,"Chinook salmon",NA,"Secesh River",2019,200,1
"ICSRSSchinookModel","Model","CAX05262091","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2010,862,1
"ICSRSSchinookModel","Model","CAX05262092","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2011,595,1
"ICSRSSchinookModel","Model","CAX05262093","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2012,724,1
"ICSRSSchinookModel","Model","CAX05262094","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2013,992,1
