"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1983,651,-99,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1984,533,-99,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1985,671,-99,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1986,1514,-99,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1987,4493,0.17,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1988,4036,0.35,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1989,2569,0.35,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1990,2186,0.39,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1991,1326,0.33,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades",331,"Wenatchee River","Wenatchee R.",1.2,NA,"Wenatchee River",1992,2008,0.4,"Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
