"Series","Method","Citation","Contributor","NMFS_POPID","ESU","Species","MAJOR_POPULATION_GROUP","DISPLAY_ORDER","POP_NAME_LONG","COMMON_POPULATION_NAME","RUN_TIMING","START_YEAR","END_YEAR","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","Age1","Age2","Age3","Age4","Age5"
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2001,3733,0.36,0,0.03,0.51,0.46,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2002,6791,0.61,0,0,0.76,0.23,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2003,6752,0.62,0,0.01,0.72,0.27,0.01
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2004,9280,0.6,0,0,0.44,0.55,0.01
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2005,9619,0.62,0,0.01,0.67,0.31,0.01
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2006,8181,0.82,0,0.02,0.43,0.54,0.02
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2007,3219,0.93,0,0,0.89,0.11,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2008,3449,0.86,0,0.02,0.46,0.52,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2009,5029,0.59,0,0.04,0.53,0.42,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2010,9179,0.65,0,0,0.67,0.32,0.01
