"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2003,68,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2004,21,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2005,2,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2006,11,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2007,23,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2008,19,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2009,28,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2010,20,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2011,16,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2012,9,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
