#' Lower Columbia River Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2011, 408, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2012, 256, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2013, 622, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2014, 496, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 1996, 215, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 1997, 197, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 1998, 141, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 1999, 139, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2000, 229, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2001, 271, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2002, 440, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2003, 910, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2004, 425, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2005, 673, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2006, 560, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2007, 412, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2008, 365, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2009, 800, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2010, 600, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2011, 1036, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2012, 1084, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2013, 1059, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2014, 617, -99
228, "Lower Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascade", "East Fork Lewis River", 2015, 843, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1986, 282, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1987, 192, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1988, 258, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1989, 140, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1990, 102, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1991, 72, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1992, 88, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1993, 90, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1994, 78, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1995, 53, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1997, 238, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1998, 376, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 1999, 442, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2001, 377, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2002, 292, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2003, 532, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2004, 1298, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2005, 246, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2006, 458, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2007, 448, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2008, 548, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2009, 688, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2010, 336, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2011, 308, -99
229, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "East Fork Lewis River", 2012, 272, -99
