NMFS_POPID,ESU,Species,MAJOR_POPULATION_GROUP,DISPLAY_ORDER,POP_NAME_LONG,COMMON_POPULATION_NAME,RUN_TIMING,START_YEAR,END_YEAR,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,Age1,Age2,Age3,Age4,Age5,Sum of age,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,AGE_NOTES,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,TOTAL_SPAWNERS_EXC_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,HATCHERY_RETURN,HATCHERY_RETURN_NOR,Date Uploaded,Data Submitted by
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1988,1342.666912,0.91171038,2106.950021,0,0.00030099,0.81282306,0.01220517,0.17467078,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1989,2335.320396,0.76578052,15015.58551,0,0.0002064,0.18722968,0.81058382,0.0019801,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1990,994.8964824,0.71809379,11418.98947,0,0.00057863,0.66194916,0.19044804,0.14702417,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1991,953.2369675,0.78111336,6484.348718,0,0.00003373,0.17242636,0.80569725,0.02184266,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1992,106.8129001,0.72962911,293.6798053,0,0.0028407,0.19861941,0.7341138,0.0644261,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1993,1655.582582,0.84459654,5185.380545,0,0.00009733,0.69760864,0.22358402,0.07871001,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1994,1732.528311,0.84367153,7363.812801,0,0.00038105,0.05038243,0.68247215,0.26676438,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1995,817.2901584,0.74017585,2043.987666,0,0.00011481,0.66346614,0.16248659,0.17393246,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1996,607.3561714,0.76011791,2221.78804,0,0.00050262,0.09897345,0.88245419,0.01806975,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1997,340.2534523,0.92473796,887.7096721,0,0.00021537,0.65634301,0.14950263,0.19393898,1,,,,,,,,,,,,,,,,,,,,,,,
