Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICSRFchinook2056,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2010,39764,0.185,0.155,0.571,0.223,0.051,0,,
ICSRFchinook2057,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2011,23580,0.342,0.373,0.206,0.392,0.027,0.001,,
ICSRFchinook2058,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2012,30363,0.373,0.27,0.571,0.118,0.041,0,,
ICSRFchinook2059,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2013,51239,0.399,0.249,0.586,0.155,0.01,0,,
ICSRFchinook2060,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2014,52989,0.248,0.215,0.26,0.471,0.054,0,,
ICSRFchinook2061,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2015,52285,0.295,0.113,0.604,0.15,0.133,0,,
ICSRFchinook2062,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2016,31993,0.27,0.14,0.441,0.353,0.063,0.004,,
ICSRFchinook2063,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2017,21248,0.289,0.089,0.575,0.205,0.127,0.003,,
ICSRFchinook2064,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2018,11705,0.42,0.012,0.598,0.359,0.038,0,,
ICSRFchinook2065,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2019,12790,0.39,0.017,0.75,0.202,0.03,0.0009,,
